ClusterID,Treatment,n_participants,YP_HAZ_36m,YP_Stunted_36m,YP_MDAT_GM_Z_36m,YP_MDAT_FM_Z_36m,YP_MDAT_LANG_Z_36m,YP_MDAT_SOC_Z_36m,YP_SRT_36m,YP_AbsGamma_36m,YP_TotalPower_36m,YP_RelGamma_36m,pre_YP_SRT_9m,pre_YP_SRT_17m,pre_YP_AbsGamma_9m,pre_YP_AbsGamma_17m,pre_YP_TotalPower_9m,pre_YP_TotalPower_17m,pre_YP_RelGamma_9m,pre_YP_RelGamma_17m,YS_DD_36m,YS_MICS_36m,X_Caregiver_Age_0m,X_Caregiver_Matric_0m,X_Wealth_Z_0m,X_Wealth_Q_0m,X_ChildGrant_0m,X_Siblings_0m,X_Facilities_0m,X_WBOTs_0m,X_CHWs_0m,X_PHCU5_0m,X_CHW_Age_0m,X_CHW_Educ_0m,X_CHW_Tenure_0m
1,0,8,-1.0825,0.5,1.8992826277258874,0.8000130331261345,0.71603097171624,1.1381106781768389,324.0133366666667,-0.9125805000000001,0.34943281333333326,0.11124803,NA,404.96000000000004,-1.7663475,-1.43968195,-0.90494496,-0.33209180000000005,0.16535309,0.13557524925,3.75,1.25,1.375,0.5,-0.2194977987476791,2.5,0.25,0.75,1,2,4,465.6,42,0,14
2,1,24,-0.3,0,1.0734291439177899,0.23218687915781464,0.38303796700468706,0.7811179174186477,339.84818181818184,-1.8022705291666665,-0.7238263574166667,0.14099668283333333,431.5733288888889,393.76286214285716,-2.29071003,-1.4454513142857142,-1.4102891613,-0.668844715,0.1842514797,0.18362549214285714,4.230769230769231,3.8461538461538463,2.375,0.4583333333333333,0.13284590455837403,3.1666666666666665,0.5,0.75,0,1,10,561.1,38.9,0.5,9.8
3,1,12,-0.988,0.2,1.1596336884734912,0.9357563751698302,0.8140777511635086,0.9032126081726366,301.06,-1.7481811,-0.8932250150000001,0.170171705,371.14333,362.5,-1.6334355975000001,-1.056729415,-1.23580377,-0.399497915,0.2818722675,0.202904215,3.6,3.4,3.5833333333333335,0.5833333333333334,0.40247762841931056,3.4166666666666665,0.08333333333333333,0.3333333333333333,0,1,9,371.5,38.9,0.5,9.8
4,0,20,-0.4263636363636364,0,1.2092825633694355,0.6499734810250939,0.45736360043630164,0.2056573875200109,337.0390927272727,-1.1752529934,-0.2877684111,0.170785126,392.07199399999996,385.24222333333336,-2.405229748,-1.205575981,-1.62747545,-0.37243877694,0.2117644974,0.175018258,4.363636363636363,3.272727272727273,2.7,0.2631578947368421,-0.03639315484147686,3.05,0.4,0.65,0,1,14,407.1,46.8,0.3,10.4
5,1,8,-0.32333333333333336,0,0.6198560268011176,0.40279293760382834,-0.03512821509729604,0.9112266596871178,340.2666633333333,-1.488548585,-0.5170901483333333,0.152825475,393.3675,385.9014285714286,-2.71800455,-1.2070775,-2.250621405,-0.49033152999999996,0.26740005166666664,0.19330292333333332,2.5,2.8333333333333335,3,0.25,0.16743954809111006,3.25,0.125,0.875,0,1,7,397.8,46.8,0.3,10.4
6,0,18,-0.5676923076923077,0.07692307692307693,0.47565403678128226,0.6894490417288692,-0.05499945643511396,0.9777954707664347,350.39,-1.442065837,-0.560403596,0.1693104574,410.69399599999997,385.2228557142857,-1.9687646076923075,-1.34954926625,-1.1572419646153846,-0.492645595,0.195347915,0.167195065,3.923076923076923,3.230769230769231,2.9444444444444446,0.2777777777777778,0.13680578072078356,3.0555555555555554,0.3333333333333333,0.6111111111111112,0,1,6,524.2,45.8,0.6,13.6
8,0,15,-1.25,0.25,1.6459194995560824,0.3814738269791674,1.490983719538856,1.3743780629832383,339.09667,-1.7352634333333334,-0.7431707000000001,0.15372858466666667,409.8442885714286,379.355998,-1.98506862375,-1.641037025,-1.4070852605,-0.7435189325,0.2404195275,0.164153945,5.75,1.75,3.466666666666667,0.26666666666666666,0.38185387908154755,3.2,0.26666666666666666,0.7857142857142857,0,1,11,1036.5,47.2,0.5,10.5
9,0,12,-0.5114285714285715,0,1.1668667069352197,0.258523827453219,0.9912550684746186,1.3632029952046434,322.818004,-1.69743778,-0.641987094,0.139200922,366.74801,385.69165666666663,-2.729690485714286,-1.619123242857143,-2.151717312857143,-0.7617082528571428,0.24873509714285716,0.17179342857142857,3.5714285714285716,2.7142857142857144,2.4166666666666665,0.5,-0.012128445092857482,3.0833333333333335,0.3333333333333333,0.6666666666666666,0,1,7,728.6,46,0.3,15.8
10,1,16,-0.17666666666666664,0.1111111111111111,1.2971272246911514,0.9481649251807676,1.0248618480424412,1.4769083136442336,334.85166833333335,-1.0383621344444445,-0.2979532114444444,0.1955627411111111,407.2900016666667,392.22999857142855,-3.102706611111111,-1.091868258,-2.57179513,-0.20963384899999998,0.24917047,0.1710351391,5.111111111111111,3.5555555555555554,2.6875,0.1875,-0.2278126568576702,2.75,0.25,0.625,0,2,4,559.7,44,0.8,5.5
11,0,10,-1.404,0.4,-0.1595964840273188,0.7945140214717136,0.5550079029363272,1.6356493539989376,335.802495,-1.4761939775,-0.3017847825,0.1223787725,417.53,410.892,-2.40697712,-1.3224240222,-1.9605868652,-0.443993702,0.266608614,0.1802376822,3.6,3,1.9,0.3,0.1476923087524685,3.3,0.2,0.7,0,1,4,536.2,36,1,7.7
