ClusterID,Treatment,n_participants,YP_delta_SBP_12m,pre_YP_SBP_6m,YS_BP_control_12m,X_SBP_0m,X_DBP_0m,X_CV_Risk_0m,X_BMI_0m,X_BMI_Class_0m,X_PhysAct_0m,X_Age_0m,X_Gender_0m,X_EduLevel_0m,X_EmpStatus_0m,X_Literacy_0m,X_Smoking_0m,X_Cohort_0m,X_RuralUrban_0m,X_Doctors_0m,X_Nurses_0m
1,0,25,-16.94684210526316,-18.703333333333337,0.5263157894736842,153.9864,94.3468,1)  <10%,28.104375,3,3856.8,52.84,0.6,Junior Secondary Schooling (JSS) (Grades 7-8),0.68,0.56,4,1,1,5,166
2,0,23,-18.554000000000006,-23.946315789473687,0.6,153.47782608695653,87.8691304347826,1)  <10%,20.141666666666666,2,11953.04347826087,58.65217391304348,0.5217391304347826,No Schooling,0.6521739130434783,0.13043478260869565,4,1,0,1,8
3,0,25,-6.79052631578947,-13.60999999999999,0.15789473684210525,156.534,94.56,1)  <10%,28.244375,3,3652.8,54.08,0.52,No Schooling,0.8,0.4166666666666667,4,1,0,0,67
4,0,25,-27.073333333333334,-20.796666666666667,0.631578947368421,161.20875,92.61125,1)  <10%,28.934166666666666,3,4219.2,59.04,0.76,Junior Secondary Schooling (JSS) (Grades 7-8),0.4583333333333333,0.4166666666666667,4,1,0,5,155
5,0,23,-27.09444444444444,-22.862727272727273,0.7777777777777778,149.07304347826087,87.72521739130435,1)  <10%,24.50777777777778,2,7442.608695652174,56.34782608695652,0.5217391304347826,Junior Secondary Schooling (JSS) (Grades 7-8),0.6956521739130435,0.2608695652173913,4,2,1,0,15
6,0,25,-8.710000000000003,-3.3737500000000056,0.21052631578947367,155.3724,97.294,1)  <10%,28.68285714285714,2,10656,52.88,0.4,Secondary School (Grades 9-11),0.8,0.52,4,2,1,6,120
7,0,24,-18.876315789473686,-6.391764705882355,0.5238095238095238,154.95791666666668,90.72375,1)  <10%,25.4275,NA,5004.166666666667,51.833333333333336,0.875,Junior Secondary Schooling (JSS) (Grades 7-8),0.8333333333333334,0.375,4,2,1,0,7
8,0,26,-21.751249999999995,-20.246521739130433,0.625,152.33346153846153,90.0776923076923,1)  <10%,25.15041666666667,2,6267.692307692308,52.69230769230769,0.7307692307692307,Primary Schooling (Grades 1 to 6),0.88,0.38461538461538464,4,2,1,3,115
8,0,26,-21.751249999999995,-20.246521739130433,0.625,152.33346153846153,90.0776923076923,1)  <10%,25.15041666666667,2,6267.692307692308,52.69230769230769,0.7307692307692307,No Schooling,0.88,0.38461538461538464,4,2,1,3,115
9,0,24,-16.98222222222222,-9.541999999999998,0.4444444444444444,153.445,90.52833333333334,1)  <10%,NA,NA,5657.5,54.416666666666664,0.4166666666666667,Junior Secondary Schooling (JSS) (Grades 7-8),0.4583333333333333,0.5833333333333334,4,3,1,0,25
10,0,25,-16.7005,-19.33444444444444,0.45,158.8,91.5608,1)  <10%,25.46,2,8630.4,58.64,0.68,Junior Secondary Schooling (JSS) (Grades 7-8),0.5652173913043478,0.24,4,3,0,4,165
11,0,25,-23.33318181818182,-14.690000000000003,0.6190476190476191,153.306,85.7068,1)  <10%,24.9325,2,5081.6,63,0.56,No Schooling,0.52,0.08,4,3,1,0,22
12,0,26,-17.75391304347826,-13.264166666666666,0.5652173913043478,155.67961538461537,89.96076923076923,1)  <10%,22.330000000000002,2,10636.153846153846,60.03846153846154,0.38461538461538464,Junior Secondary Schooling (JSS) (Grades 7-8),0.8076923076923077,0.36,4,3,0,2,64
13,0,25,-7.492173913043478,-11.362272727272734,0.2608695652173913,160.5464,88.9728,1)  <10%,NA,NA,4576.48,61.16,0.92,Junior Secondary Schooling (JSS) (Grades 7-8),0.75,0.2,4,4,0,0,38
14,0,22,-14.449500000000002,-7.048095238095236,0.3,154.92454545454547,90.19636363636364,1)  <10%,23.00470588235294,2,5423.272727272727,60.04761904761905,0.36363636363636365,No Schooling,0.5714285714285714,0.2857142857142857,4,4,1,0,25
15,0,22,-12.129444444444445,-12.38888888888889,0.3333333333333333,153.9390909090909,90.54545454545455,1)  <10%,21.28,2,4720.909090909091,52.68181818181818,0.6363636363636364,Junior Secondary Schooling (JSS) (Grades 7-8),0.5789473684210527,0.5714285714285714,4,4,1,4,140
16,0,24,-11.855652173913043,-12.299500000000002,0.45454545454545453,150.58291666666668,82.7775,1)  <10%,20.754285714285714,2,9585,62.625,0.4583333333333333,Junior Secondary Schooling (JSS) (Grades 7-8),0.5,0.20833333333333334,4,4,0,4,125
16,0,24,-11.855652173913043,-12.299500000000002,0.45454545454545453,150.58291666666668,82.7775,1)  <10%,20.754285714285714,2,9585,62.625,0.4583333333333333,No Schooling,0.5,0.20833333333333334,4,4,0,4,125
