ClusterID,Treatment,n_participants,YP_depth_1w,YP_rate_1w,post_YP_depth_6m,post_YP_rate_6m,YS_depthPctOK_1w,YS_rateQual_1w,YS_depthPctOK_6m,YS_rateQual_6m,X_priorMedKnow_0d,X_age_0y,X_sex_0d,X_depth_0w,X_rate_0w
1,1,10,47.77777777777778,105.33333333333333,53,109.8,18.372197613184184,0.6666666666666666,67.43880049310512,0.8,0.3,22.7,0.4,39.9,107.7
2,1,11,46.72727272727273,112.54545454545455,50.75,111.75,30.589560820503092,1.0909090909090908,16.53283641950132,1,0.2727272727272727,23.454545454545453,0.36363636363636365,42.36363636363637,100.63636363636364
3,0,9,54.44444444444444,112.33333333333333,60,106,40.874064804039136,1,4.697986577181208,1,0.1111111111111111,21.11111111111111,0.2222222222222222,41,97
4,0,12,43.1,104.8,40.5,114.5,10.712094667398498,0.8,27.37430167597765,1,0.08333333333333333,20.09090909090909,0.4166666666666667,44.666666666666664,88.83333333333333
5,0,11,46,108.2,37.5,118,32.07171491775608,0.9,18.867924528301888,1,0.18181818181818182,21.5,0.2727272727272727,36.36363636363637,92.36363636363636
6,0,10,54.9,112.2,59.5,122.5,31.997024817262293,1.1,12.828947368421053,1.5,0,23.8,0.3,42,95.8
7,0,11,50,114.45454545454545,60,127,29.567101971944258,1.3636363636363635,3.627450980392157,2,0.18181818181818182,19.818181818181817,0.36363636363636365,42.63636363636363,115.72727272727273
8,0,11,49.36363636363637,110.54545454545455,56,135,34.716531658886154,1,85.11904761904762,2,0.2727272727272727,21.363636363636363,0.36363636363636365,36.81818181818182,105.9090909090909
9,1,11,57.27272727272727,117.36363636363636,56,125.75,36.20850609409236,1.4545454545454546,51.63771995250105,1.5,0,19.4,0.36363636363636365,49.36363636363637,106.9090909090909
10,1,11,57.8,127.5,54.8,117.6,34.35477287767647,1.7,58.284003359258044,1.4,0.09090909090909091,19.8,0.36363636363636365,45.63636363636363,107.45454545454545
11,1,9,48.55555555555556,109.66666666666667,50,124.75,29.532838509874924,1.1111111111111112,44.984456466735274,1.5,0.1111111111111111,19.75,0.3333333333333333,44.55555555555556,92.44444444444444
12,1,10,45,121,55.5,123,6.256852654808806,1.5,46.88309033928328,1.5,0.1,21,0.4,52.2,115.4
13,0,10,54.9,109.6,53.666666666666664,114.33333333333333,41.630894851756345,1.1,19.789841588909866,1,0.2,20.4,0.3,30.7,77.4
14,0,12,57.72727272727273,121.9090909090909,51.666666666666664,139.66666666666666,44.48249758027251,1.4545454545454546,20.626868984207086,2,0.25,20.5,0.4166666666666667,40.833333333333336,106.25
15,1,8,55.42857142857143,108.85714285714286,55.5,114.75,32.91519038488847,1,43.25169481562757,1.25,0.125,21.375,0.25,56.875,85.5
16,1,7,50.57142857142857,102.85714285714286,45.5,132.5,36.126776805277395,1,21.936286388161935,2,0,19.666666666666668,0.2857142857142857,47.285714285714285,90.28571428571429
17,1,8,36.5,116.25,54,129.5,13.015947467166981,1.375,72.53472222222223,1.5,0.125,20.857142857142858,0.375,36.625,105.5
18,1,8,45.125,108.375,52.25,123.75,23.72892547635931,1,34.03834559184609,1.5,0.125,20.25,0.5,43,104.75
19,1,9,53.44444444444444,122.44444444444444,56.333333333333336,115.33333333333333,50.31231851101777,1.6666666666666667,52.297692019914244,1.3333333333333333,0.2222222222222222,20.444444444444443,0.2222222222222222,46,109.11111111111111
20,1,11,53.27272727272727,103.63636363636364,54.75,115.5,34.074799555756506,0.5454545454545454,56.963797286687004,1.25,0.09090909090909091,21.90909090909091,0.2727272727272727,33.45454545454545,87.72727272727273
21,0,7,51.42857142857143,98.14285714285714,57.5,114.5,52.02639087325066,0.42857142857142855,51.37229437229436,1,0,19.285714285714285,0,48.142857142857146,90.85714285714286
22,0,10,46.5,113.2,40,116,31.069246895860235,1.2,12.582781456953644,1,0.2,20.2,0.2,42.9,85.5
23,0,11,42.45454545454545,97.27272727272727,53,116.5,21.531018905593907,0.5454545454545454,85.24614919963757,1.5,0.18181818181818182,19.9,0.2727272727272727,44.90909090909091,83.54545454545455
24,0,10,47.6,120.9,60,127,38.93028701673864,1.6,100,2,0.3,24.7,0.3,46.6,89.3
