contry;exp.grp;time;gender;date.birth;prof;drug.use;art.gen;art.cli;def.rct;def.ss;understand;confident1;vocabhard;adapted;full.text;Bbetter;Nbetter;NequalB;Nfound;Bfound;Nfirst;Bfirst;Afirst;Agood.N;Agood.B;Agood.A;Agood.stop;Abad.N;Abad.B;Abad.A;Abad.stop;confident2;impact;similar;want.results
UK;Spin006;23/05/2017 - 13:20;F;1950-1959;Researcher/academic professional;Yes;1 to 5;6 to 10;5;6;4;4;7;7;4;1;6;1;6;4;7;1;1;6;1;1;1;6;1;1;6;5;3;4;Yes
UK;NoSpin004;25/05/2017 - 09:48;F;1950-1959;Other Staff in an academic institution;No;6 to 10;6 to 10;6;6;7;7;6;6;2;1;7;1;7;1;6;1;4;5;1;6;5;7;1;1;5;6;6;4;Yes
FR;NoSpin004;23/05/2017 - 18:13;F;1960-1969;Health prof;No;6 to 10;6 to 10;5;5;6;6;7;7;7;6;7;7;7;6;7;6;6;5;5;7;7;6;7;6;7;7;7;7;Yes
FR;Spin004;10/05/2017 - 10:43;F;1960-1969;Health prof;Yes;11 to 20;11 to 20;6;5;7;6;2;7;2;1;7;1;6;3;7;1;4;7;1;1;1;7;1;1;1;6;4;3;Yes
FR;NoSpin006;20/05/2017 - 17:38;F;1960-1969;Health prof;Yes;6 to 10;6 to 10;7;5;7;7;1;7;2;1;1;7;4;4;5;5;7;5;5;5;5;7;7;1;5;6;5;7;Yes
UK;NoSpin004;23/05/2017 - 11:28;F;1960-1969;Other Staff in an academic institution;Yes;20plus;20plus;6;5;5;5;2;6;6;3;3;6;5;5;3;3;6;3;2;6;3;5;4;3;5;4;4;5;No
UK;Spin004;31/05/2017 - 13:02;F;1960-1969;Researcher/academic professional;Yes;20plus;20plus;7;7;7;7;1;5;7;1;6;2;6;2;4;1;7;1;1;7;1;6;1;1;1;5;3;7;Yes
UK;Spin004;31/05/2017 - 12:31;F;1960-1969;Researcher/academic professional;Yes;20plus;1 to 5;7;7;7;7;1;7;4;1;7;1;7;3;5;1;5;5;1;7;3;7;4;1;4;7;7;7;Yes
UK;NoSpin006;10/06/2017 - 03:20;F;1960-1969;Researcher/academic professional;Yes;20plus;20plus;6;6;7;7;2;6;6;1;1;1;1;1;1;1;1;1;1;7;1;1;7;1;7;5;5;5;Yes
UK;Spin004;31/05/2017 - 13:16;F;1960-1969;Other Staff in an academic institution;Yes;20plus;11 to 20;7;7;6;5;6;6;4;3;7;3;7;5;5;3;6;6;5;5;4;7;6;2;5;5;5;5;No
FR;NoSpin006;04/06/2017 - 13:44;F;1960-1969;Health prof;No;1 to 5;1 to 5;4;6;7;7;1;7;3;2;2;7;5;5;2;2;2;2;2;5;6;6;6;2;6;6;6;6;Yes
FR;NoSpin006;09/05/2017 - 21:31;F;1970-1979;Health prof;No;1 to 5;1 to 5;7;7;7;7;1;7;1;1;1;7;4;4;1;1;1;3;3;5;5;6;6;1;6;3;2;4;No
UK;Spin006;24/05/2017 - 16:21;F;1970-1979;Other Staff in an academic institution;Yes;1less;1less;2;2;5;5;5;7;2;2;7;5;7;3;7;2;2;6;2;6;1;7;2;1;1;7;7;2;No
