Variable,Label
Pat_code,NA
Age,Age patient (years)
GDM_ACDT,History of GDM (1=Y/0=N)
MACRO_ACDT,History of macrosome baby (1=Y/0=N)
Gest,Gestity (No. of pregnancies)
Weight,Weight (first measure) in kg
GA_1_wgt,Gestational age at 1. weight measurement (weeks)
Test_screen1,Screeningtest 1 (1=FBS/2=OGTT/3=Other)
GA_test_screen1,Gestational age at screening test 1 (weeks)
Test_screen2,Screeningtest 2 (1=FBS/2=OGTT/3=Other)
GA_test_screen2,Gestational age at screening test 2 (weeks)
Place_screen,Place of screening test (1=health center/ 2= public lab/3=private lab)
Diag_FBS,Positive fasting blood sugar ((1=Y/0=N)
Diag_HGPO1,Positive 1 hour OGTT (1=Y/0=N)
Diag_HGPO2,Positive 2 hour OGTT (1=Y/0=N)
FBS_1_Screen,Result of fasting blood sugar screening 1 (g/l)
Res_HGPO1,Result 1 hour OGTT (g/l)
Res_HGPO2,Result 2 hour OGTT (g/l)
GA_diag,Gestational age at diagnosis (weeks)
CPN_diag,Number of ANC visit at diagnosis
Tx1_type,Type of treatment 1 (1=diet/2=insulin)
GA_Tx1,Gestational age at initiation treatment 1 (diet) in weeks
Tx2_type,Type of treatment 2 (1=diet/2=insulin)
GA_Tx2,Gestational age at initating treatment 2 (insulin) in weeks
Refer_SP,Referral to diabetes specialist? (1=Y/0=N/ 2=unknown)
Ref_Comply,Women went to see specialist (complied)? (1=Y/0=N/ 2=unknown)
Ref_place1,Place of referral 1 (1=Endo pub/2=Endo pri/ 3=Internist pub/4=Gyn pub/5=Gyn pri)
Ref_place2,Place of referral 2 (1=Endo pub/2=Endo pri/ 3=Internist pub/4=Gyn pub/5=Gyn pri)
No_total_FU,Total no. of follow-ups
No_FU_HC,Number of follow-ups at health center
No_FU_CR,Number of follow-ups at diabetes referral centre
Date_FU1,NA
GA_FU1,Gestational age follow-up visit 1 (weeks)
Weight_FU1,Weight at follow-up visit 1 (kg)
FBS_FU1,Fasting blood sugar at follow-up visit 1 (g/l)
GPP_FU1,Post-prandial blood sugar (after 2 hours) follow-up visit 1 (g/l)
Place_FU1,Place follow-up visit 1 (1=health center/2=reference centre/ 3=other)
Tx_FU1,Treatment follow-up visit 1 (1=diet/2=insulin)
Date_FU2,NA
GA_FU2,Gestational age at follow-up visit 2 (weeks)
Weight_FU2,Weight at follow-up visit 2 (kg)
FBS_FU2,Fasting blood sugar at follow-up visit 2 (g/l)
GPP_FU2,Post-prandial blood sugar (after 2 hrs) follow-up visit 2 (g/l)
Place_FU2,Place follow-up visit 2 (1=health center/2=reference centre/ 3=other)
Tx_FU2,Treatment follow-up visit 2 (1=diet/2=insulin)
Date_FU3,NA
GA_FU3,Gestational age at follow-up visit 3 (weeks)
Weight_FU3,Weight at follow-up visit 3 (kg)
FBS_FU3,Fasting blood sugar at follow-up visit 3 (g/l)
GPP_FU3,Post-prandial blood sugar (after 2 hrs) follow-up visit 3 (g/l)
Place_FU3,Place follow-up visit 3 (1=health center/2=reference centre/ 3=other)
Tx_FU3,Treatment follow-up visit 3 (1=diet/2=insulin)
GA_FU4,Gestational age at follow-up visit 4 (weeks)
Weight_FU4,Weight at follow-up visit 4 (kg)
FBS_FU4,Fasting blood sugar at follow-up visit 4 (g/l)
GPP_FU4,Post-prandial blood sugar (after 2 hrs) follow-up visit 4 (g/l)
Place_FU4,Place follow-up visit 4 (1=health center/2=reference centre/ 3=other)
Tx_FU4,Treatment follow-up visit 4 (1=diet/2=insulin)
Date_FU5,NA
GA_FU5,Gestational age at follow-up visit 5 (weeks)
Weight_FU5,Weight at follow-up visit 5 (kg)
FBS_FU5,Fasting blood sugar at follow-up visit 5 ( (g/l)
GPP_FU5,Post-prandial blood sugar (after 2 hrs) follow-up visit 5 (g/l)
Place_FU5,Place follow-up visit 5 (1=health center/2=reference centre/ 3=other)
Tx_FU5,Treatment follow-up visit 5 (1=diet/2=insulin)
Date_FU6,NA
GA_FU6,Gestational age at follow-up visit 6 (weeks)
Weight_FU6,Weight at follow-up visit 6 (kg)
FBS_FU6,Fasting blood sugar at follow-up visit 6 (g/l)
GPP_FU6,Post-prandial blood sugar (after 2 hrs) follow-up visit 6 (g/l)
Place_FU6,Place follow-up visit 6 (1=health center/2=reference centre/ 3=other)
Tx_FU6,Treatment follow-up visit 6 (1=diet/2=insulin)
Date_FU7,NA
GA_FU7,Gestational age at follow-up visit 7 (weeks)
Weight_FU7,Weight at follow-up visit 7 (kg)
FBS_FU7,Fasting blood sugar at follow-up visit 7 (g/l)
GPP_FU7,Post-prandial blood sugar (after 2 hrs) follow-up visit 7 (g/l)
Tx_FU7,Treatment follow-up visit 7 (1=diet/2=insulin)
Date_FU8,NA
GA_FU8,Gestational age at follow-up visit 8 (weeks)
Weight_FU8,Weight at follow-up visit 8 (kg)
FBS_FU8,Fasting blood sugar at follow-up visit 8 (g/l)
GPP_FU8,Post-prandial blood sugar (after 2 hrs) follow-up visit 8 (g/l)
Place_FU8,Place follow-up visit 8 (1=health center/2=reference centre/ 3=other)
Tx_FU8,Treatment follow-up visit 8 (1=diet/2=insulin)
Date_FU9,NA
GA_FU9,Gestational age at follow-up visit 9 (weeks)
Weight_FU9,Weight at follow-up visit 9 (kg)
FBS_FU9,Fasting blood sugar at follow-up visit 9 (g/l)
GPP_FU9,Post-prandial blood sugar (after 2 hrs) follow-up visit 9 (g/l)
Place_FU9,Place follow-up visit 9 (1=health center/2=reference centre/ 3=other)
Tx_FU9,Treatment follow-up visit 9 (1=diet/2=insulin)
Date_FU10,NA
GA_FU10,Gestational age at follow-up visit 10 (weeks)
Weight_FU10,Weight at follow-up visit 10 (kg)
FBS_FU10,Fasting blood sugar at follow-up visit 10 (g/l)
GPP_FU10,Post-prandial blood sugar (after 2 hours) follow-up visit 10 (g/l)
Place_FU10,Place follow-up visit 10 (1=health center/2=reference centre/ 3=other)
Tx_FU10,Treatment follow-up visit 10 (1=diet/2=insulin)
Date_FU11,NA
GA_FU11,Gestational age at follow-up visit 11 (weeks)
Weight_FU11,Weight at follow-up visit 11 (kg)
