Variable,Description,Response_Values,Sheet_Source
Q1_5,Weeks pregnant,1=<24 weeks 2=24-31 weeks 3=>31 weeks,screening_survey
Q1_8,Mother's age,NA,screening_survey
Q1_9,Where did you hear about this study?,1=At my OB/GYN doctor's office 2= at a WIC office 3= at a pediatrician's office 4= from Berkeley Parents Network 5= on craigslist.org 6= from a listserv/e-mail list I'm on 7= saw a flyer  somewhere 8= someone told me about it 9= other,screening_survey
Q1_9_TEXT,Where did you hear about this study?--other specify,NA,screening_survey
V7,Status,NA,postpartum_survey
V8,StartDate,NA,postpartum_survey
V9,EndDate,NA,postpartum_survey
V10,Finished,0= incomplete 1=finished,postpartum_survey
SID,NA,NA,postpartum_survey
Token,NA,NA,postpartum_survey
Amount,NA,NA,postpartum_survey
Contact,NA,NA,postpartum_survey
code,NA,NA,postpartum_survey
type,NA,NA,postpartum_survey
RecipientLanguage,NA,NA,postpartum_survey
Treatment_Group,NA,0=control 1=intervention,postpartum_survey
Due_date,From screening survey taken,NA,postpartum_survey
DateTaken,Date screening survey taken,NA,postpartum_survey
Enrolled,From screening survey taken,NA,postpartum_survey
Hard_copy,Requested hard copy?,NA,postpartum_survey
Q4_3_1_TEXT,Baby’s age at survey (weeks),NA,postpartum_survey
Q4_4,baby DOB,NA,postpartum_survey
Q5_1,Type of work during pregnancy,NA,postpartum_survey
Q5_2,Number of people working for employer,"1=Fewer than 5, 2=Between 5-49, 3=50 or more",postpartum_survey
Q5_3,Length of time working at job,"1=Less than 1 year, 2=More than 1 year",postpartum_survey
Q5_4,Hours usually worked per week when 6-7 months pregnant,"1=1-10 hours a week, 2=11-20 hours a week, 3=21-30 hours a week, 4=31-40 hours a week, 5=More than 40 hours a week",postpartum_survey
Q6_2,Had any prenatal care,1=Yes 2=No,postpartum_survey
Q6_3_1_TEXT,Weeks pregnant at first prenatal care visit,NA,postpartum_survey
Q6_4,Cut back hours toward end of pregnancy?,1=Yes 2=No,postpartum_survey
Q6_5,Stop working before delivery?,"1=Yes 2=No, I worked up til time of delivery",postpartum_survey
